Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000136,2013-05-24,2013-05-24,,"Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","9. Juni 1963"
2,nm0000199,2013-05-24,2013-05-24,,"Al Pacino","Serpico","25. April 1940"
3,nm0000134,2013-05-24,2013-05-24,,"Robert De Niro","Cape Fear","17. August 1943"
4,nm0000228,2013-05-24,2013-05-24,"He always is My favorite","Kevin Spacey","The Usual Suspects","26. Juli 1959"
5,nm0000243,2013-05-24,2013-05-24,,"Denzel Washington","Fences","28. Dezember 1954"
6,nm0000128,2013-05-24,2013-05-24,,"Russell Crowe","Les Misérables","7. April 1964"
7,nm0000093,2013-05-24,2013-05-24,,"Brad Pitt","Fight Club","18. Dezember 1963"
8,nm0001401,2013-05-24,2013-05-24,,"Angelina Jolie","Maleficent","4. Juni 1975"
9,nm0000138,2013-05-24,2013-05-24,,"Leonardo DiCaprio","Inception","11. November 1974"
10,nm0000129,2013-05-24,2013-05-24,,"Tom Cruise","Top Gun","3. Juli 1962"
11,nm0000237,2013-05-24,2013-05-24,,"John Travolta","Pulp Fiction","18. Februar 1954"
12,nm0000216,2013-05-24,2013-05-24,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","30. Juli 1947"
13,nm0000230,2013-05-24,2013-05-24,,"Sylvester Stallone","Rocky","6. Juli 1946"
14,nm0000701,2013-05-24,2013-05-24,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","5. Oktober 1975"
15,nm0000288,2013-05-24,2013-05-24,,"Christian Bale","The Dark Knight","30. Januar 1974"
16,nm0000151,2013-05-24,2013-05-24,,"Morgan Freeman","Se7en","1. Juni 1937"
17,nm0000206,2013-05-24,2013-05-24,,"Keanu Reeves","The Matrix","2. September 1964"
18,nm0000115,2013-05-24,2013-05-24,,"Nicolas Cage","Face/Off","7. Januar 1964"
19,nm0413168,2013-05-24,2013-05-24,,"Hugh Jackman","Les Misérables","12. Oktober 1968"
20,nm0001570,2013-05-24,2013-05-24,,"Edward Norton","Fight Club","18. August 1969"
21,nm0000246,2013-05-24,2013-05-24,,"Bruce Willis","Die Hard","19. März 1955"
22,nm0000158,2013-05-24,2013-05-24,,"Tom Hanks","Cast Away","9. Juli 1956"
23,nm0000234,2013-05-24,2013-05-24,,"Charlize Theron","Monster","7. August 1975"
24,nm0000226,2013-05-24,2013-05-24,,"Will Smith","The Fresh Prince of Bel-Air","25. September 1968"
25,nm0000125,2013-05-24,2013-05-24,,"Sean Connery","Dr. No","25. August 1930"
26,nm0461136,2013-05-24,2013-05-24,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","26. März 1985"
27,nm0004874,2013-05-24,2013-05-24,,"Vin Diesel","Guardians of the Galaxy","18. Juli 1967"
28,nm0000354,2013-05-24,2013-05-24,,"Matt Damon","Good Will Hunting","8. Oktober 1970"
29,nm0000152,2013-05-24,2013-05-24,,"Richard Gere","Chicago","31. August 1949"
30,nm0001876,2013-05-24,2013-05-24,,"Catherine Zeta-Jones","Chicago","25. September 1969"
31,nm0654110,2013-05-24,2013-05-24,,"Clive Owen","Closer","3. Oktober 1964"
32,nm0000154,2013-05-24,2013-05-24,,"Mel Gibson","Braveheart","3. Januar 1956"
33,nm0000123,2013-05-24,2013-05-24,,"George Clooney","Michael Clayton","6. Mai 1961"
34,nm0000197,2013-05-24,2013-05-24,,"Jack Nicholson","Chinatown","22. April 1937"
35,nm0424060,2013-05-24,2013-05-24,,"Scarlett Johansson","Lost in Translation","22. November 1984"
36,nm0362766,2013-05-24,2013-05-24,,"Tom Hardy","Inception","15. September 1977"
37,nm0000375,2013-05-24,2013-05-24,,"Robert Downey Jr.","Iron Man","4. April 1965"
38,nm0089217,2013-05-24,2013-05-24,,"Orlando Bloom","Pirates of the Caribbean: The Curse of the Black Pearl","13. Januar 1977"
39,nm0005212,2013-05-24,2013-05-24,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","25. Mai 1939"
40,nm0000104,2013-05-24,2013-05-24,,"Antonio Banderas","The Mask of Zorro","10. August 1960"
41,nm0001602,2013-05-24,2013-05-24,,"Guy Pearce","Memento","5. Oktober 1967"
42,nm0000168,2013-05-24,2013-05-24,,"Samuel L. Jackson","Pulp Fiction","21. Dezember 1948"
43,nm0000113,2013-05-24,2013-05-24,,"Sandra Bullock","The Proposal","26. Juli 1964"
44,nm0000212,2013-05-24,2013-05-24,,"Meg Ryan","When Harry Met Sally...","19. November 1961"
45,nm1083271,2013-05-24,2013-05-24,,"Megan Fox","Transformers","16. Mai 1986"
46,nm0000173,2013-05-24,2013-05-24,,"Nicole Kidman","Moulin Rouge!","20. Juni 1967"
47,nm0124930,2013-05-24,2013-05-24,,"Gerard Butler","300","13. November 1969"
48,nm0048932,2013-05-24,2013-05-24,,"Simon Baker","Margin Call","30. Juli 1969"
49,nm0000139,2013-05-24,2013-05-24,,"Cameron Diaz","Charlie's Angels","30. August 1972"
50,nm0001337,2013-05-24,2013-05-24,,"Katherine Heigl","One for the Money","24. November 1978"
